17-AAG AEW541 AZD0530 AZD6244 Erlotinib Irinotecan L-685458 LBW242 Lapatinib Nilotinib Nutlin-3 PD-0325901 PD-0332991 PF2341066 PHA-665752 PLX4720 Paclitaxel Panobinostat RAF265 Sorafenib TAE684 TKI258 Topotecan ZD-6474
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 4.667 1.1647 4.2714 3.654 0.8905 5.2348 2.0652 1.0611 0.3354 6.0634 0.9154 4.5392 1.5487 3.0185 0.9357 1.0564 7.0443 5.6418 2.7795 1.7046 2.3065 1.6864 5.2851 3.3257
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.1534 0.9333 0.6917 0.4856 0.8885 4.3124 0.6987 0 0.03488 0.3997 0.1889 1.3958 0 0.2972 0.6293 0.09389 3.6015 6.84 0.09803 0.1978 0.9299 0.2381 3.6358 0.1063
LCLC103H_LUNG 2.8339 0.6313 0.2668 0.5019 0.26 2.0636 0.09609 0.5048 0.1241 0.1693 0.1545 0.16 0.1057 0.06502 0.8282 0.08282 5.5755 4.1846 1.366 0.4543 0.8001 0.7523 2.2263 1.4051
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 2.9575 0.5807 0.2569 0.4134 0.3904 3.2757 0.6492 1.1121 0.6883 1.1117 0.6954 0.01169 1.2728 0.7745 0.9671 0.6253 4.3178 4.663 2.5285 1.1127 0.7929 1.1036 3.0798 1.4684
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.3586 1.5338 2.4599 1.4634 1.5452 5.5993 1.6808 1.8489 1.4487 1.8004 1.6592 1.74 2.7305 1.8084 2.6088 1.8282 6.7558 5.9569 3.5251 2.8323 1.5482 2.0937 5.7389 1.9845
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 5.0957 2.9187 1.4398 0.7485 1.0643 4.9078 1.0836 3.4205 1.3522 1.9171 0.7146 1.4584 2.7606 2.4015 2.1395 0.9127 6.817 6.2917 3.0544 1.6377 3.8758 2.0685 4.9954 0.791
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 2.238 1.1025 1.7767 0.5246 0.3886 4.2453 3.2609 1.2349 1.4096 1.2999 0.2678 0.8526 1.8035 1.2027 2.0272 1.3646 7.4814 6.1489 1.4077 0.8653 1.2094 1.5187 4.0341 1.5809
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.1529 2.9271 0.863 4.2428 0.7388 2.5262 1.9258 1.0111 0.4323 0.3661 0.1505 4.076 1.4777 0.6391 1.0286 0.4897 6.8236 5.5411 1.2707 1.3176 2.6193 0.4642 2.7252 1.1093
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 4.1762 2.8203 3.1197 6.4934 1.9143 5.4087 2.5181 1.1165 1.3094 2.294 2.9584 7.3807 2.9168 1.9859 1.5314 5.2178 7.4525 6.2273 3.8609 2.421 3.3125 2.4769 5.3778 1.5623
BCPAP_THYROID 3.4746 1.3166 1.54 2.518 0.3177 3.9819 0.4889 1.0364 0.3482 0.7336 0.7133 2.855 0.3853 0.6353 0.8851 1.2235 6.704 4.3878 2.1509 1.5503 1.6747 0.9213 3.6587 0.698
TT2609C02_THYROID 3.9975 1.7747 1.3733 3.1457 0.8222 3.5752 0.7502 2.0894 0.4612 0.8678 0.2607 4.2844 1.3716 0.6655 0.1429 0.1878 6.6567 4.9275 3.237 0.5484 2.1649 1.4124 3.3499 0.7074
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.7075 3.0325 0.2391 3.2726 0.6618 3.0544 1.9436 1.2007 0.6322 0.9395 0.8868 3.7848 0.4814 1.3331 0.8031 0.3779 6.7817 6.4753 3.882 1.2146 3.0508 2.3468 1.2153 1.9454
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 5.2887 2.8999 0.3323 1.6147 1.0362 3.7332 1.279 0.5586 1.233 1.5625 1.1689 2.9921 0.6168 1.3265 1.0553 0.4187 6.5985 5.9291 1.805 0.9786 3.1165 1.5766 4.6146 1.295
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.7225 2.4006 0.4735 2.179 0.3782 3.8717 1.8304 0.5257 0.8492 0.838 1.0518 2.9593 2.1591 1.1504 1.5495 0.333 4.819 5.5941 1.4718 0.9686 2.9462 1.0816 3.1229 1.2083
SCC25_UPPER_AERODIGESTIVE_TRACT 4.46 NA 1.1035 0.494 NA NA 0.1254 1.593 1.1151 NA 0.5353 1.3214 0.5614 0.3788 0.7471 0.3717 6.8063 NA 1.4881 0.3316 0.9235 0.5498 3.3078 2.5074
HCC1806_BREAST 4.1444 1.0001 2.0485 1.6198 2.1 NA 0.2743 0.7285 1.4366 1.0867 0.5461 2.1571 0.3205 1.0815 0.1681 0.2989 6.8819 4.4637 2.0956 0.8092 1.8193 0.8257 4.6446 1.305
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 2.8214 1.0074 2.0087 0.5534 0.3789 5.1588 0.9562 0.4284 0.2367 1.8129 1.2758 1.2719 1.6975 0.9777 0.4665 0.1942 6.7581 5.0557 1.0915 0.4338 2.4579 1.5745 5.0562 2.0812
MKN7_STOMACH 2.6606 0.3176 0.2042 0.5792 0.3438 3.4797 0 0.5672 0.8744 0.5522 0.7318 0.777 0.6204 0.5643 0 0.3992 3.6733 4.0845 1.1364 0.2289 2.3151 0.6005 3.1009 0.8105
HCC827_LUNG 3.074 0.8091 2.8997 0 4.4132 NA 0.7494 0.4814 0.956 NA 0 0.7286 NA 0.3058 0.4763 0.3699 4.5217 4.0611 NA 0.5981 1.5033 0.1211 1.736 3.1181
UACC812_BREAST 3.1346 0.3992 0.6199 0.9361 0.4433 1.7327 0.06187 0.1302 1.3183 0.7207 0.3032 1.0812 0.3588 0.05788 0.1242 0 4.0004 3.7262 0.7273 0.2783 0.6884 0.008233 1.3378 0.8307
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.8928 1.0192 0.4912 0.4243 0.06596 3.1957 1.2785 0.186 0.7992 0.3176 0.0689 1.8426 1.3344 0.8983 0.06698 0 7.2354 5.3984 0.838 0.01542 1.2132 1.3126 4.0743 1.9595
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.7258 1.7337 3.6068 1.7324 1.0076 4.9707 1.3882 1.8018 1.2882 1.4978 1.9194 0.6981 2.4962 2.013 2.5702 1.988 6.9533 5.8489 1.5231 1.8441 2.3917 1.9076 5.315 2.2708
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 4.9855 0.5617 0.05838 0.2098 1.1327 4.7234 0.007163 0.4018 0.8071 0 0.1098 0.249 1.0717 1.1621 0.1203 0.6648 7.1403 5.6889 2.1272 0.002441 1.8164 1.6047 4.5568 0.7281
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 4.3378 2.0396 1.4458 0.1338 0.9251 5.5641 2.7093 0.3809 1.1878 1.7965 1.4534 0.8781 1.2261 1.8184 1.3201 1.3751 5.1909 6.0713 2.2879 2.8625 1.9472 2.0445 5.3652 2.6292
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.2781 2.8798 0.4225 1.3771 0 2.5387 1.3427 0.3876 1.8908 2.2922 1.3709 1.7369 2.2415 2.432 0.6193 0.3489 3.0682 4.8948 1.0413 1.1561 2.6661 1.0434 2.64 1.7224
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 4.2295 1.1281 0.2234 5.9343 0.02743 4.2545 0.2119 0.02479 0.1763 0.8493 0.5748 7.2797 1.6237 1.0041 0.07766 0.9367 6.3485 5.3795 1.8252 1.7042 2.1811 1.4035 4.8885 0.1919
CAL78_BONE 4.3291 1.2703 0.6972 0.149 0.6947 2.9043 0.7571 0.7028 0.4327 0.5266 0.0222 0.1878 0.1654 0.8664 0.3361 0.359 5.5828 4.6055 1.7244 0.301 1.4006 1.7102 3.1338 0.305
RPMI7951_SKIN 5.8391 0.9825 0.8065 1.1178 0.172 NA 0.217 0.5193 0.212 NA 0.2262 1.5961 NA 0.9346 0.7986 0.54 6.9914 4.7622 1.3954 0.1968 1.0404 0.6471 3.4621 1.2281
WM983B_SKIN 3.9403 2.3048 2.4621 4.8064 0.981 2.4694 0.6315 1.3679 2.28 1.9258 1.6994 6.3027 3.2376 1.5978 1.3292 3.138 5.6824 4.4884 3.6745 1.4692 3.2014 1.7524 2.8592 2.2778
LS513_LARGE_INTESTINE 4.3214 2.5798 0.9041 2.6515 1.5967 2.7359 0.8321 0.3439 2.1057 1.4159 1.4657 4.8546 1.3037 0.6926 1.4464 0.2252 4.8331 5.166 2.0386 0.9539 2.7267 1.9045 4.0027 1.7525
WM793_SKIN 5.6352 1.2364 0.8811 2.07 0.07185 4.4759 0.7809 1.8878 0.6875 0.708 0.862 3.0477 1.4922 0.6696 0.8487 1.3967 5.6275 4.05 2.3233 0.1739 0.9968 1.1986 3.6274 1.3319
MEWO_SKIN 2.3806 0.3319 0.08418 0.3584 0.002914 0.9154 1.0702 1.0106 0 0 0 0.9748 1.0396 0.3369 0.4424 0.1847 3.5542 3.6394 0.9187 0.4461 0.8891 0.2702 0.4341 0.6093
WM88_SKIN 4.5972 1.6441 0.5142 4.1904 0.242 3.6776 0.2364 0.1151 0.1094 0.6898 0.6133 6.2069 0.5886 0.5136 0.1746 3.4382 5.0682 4.2388 2.9728 0.7236 0.6657 1.1354 2.8429 0.7113
NCIH1092_LUNG 1.0754 0.5824 0 0.4517 0.06946 3.195 0.004055 0 0.2613 0.1775 0.06517 0 0 0.286 0 0.06505 1.7118 3.5793 0.6779 0 0 0.5458 2.8124 0.3715
LC1SQSF_LUNG 2.7908 0.6989 0.2975 0.9039 0.7528 NA 0.06129 0.3358 0.2258 0.1196 0.2632 1.719 0.2417 0 0.1752 0.08837 5.3331 3.7921 0.9703 0.05495 0.3709 0.6056 1.0455 1.1718
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 4.1261 0.1908 0 1.0256 0 5.0054 0.3893 3.1432 0 0.1514 0.312 1.5185 0.7352 1.7536 0.5715 0.1102 7.6077 5.489 0.5358 0.04683 4.0199 0.08662 4.3541 0.3674
OVCAR8_OVARY 4.0967 0.6409 1.0565 0.3024 0.532 4.2914 0.2157 0.07678 1.0963 0.6021 0.08894 1.0265 0 1.0091 0.4074 0.1871 6.193 5.1246 1.7808 0.9127 0.7201 1.1174 4.034 0.8507
NCIH2172_LUNG 1.7525 0.4366 0.1918 0.3521 0.198 0.9265 0 0.5285 0.03765 0.07936 0.05811 0.2755 0.04726 0.4162 0.2135 0.7171 2.1174 NA 0.1744 0.3295 0.4014 0.2366 0.0547 0.4416
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM 4.4612 0.6813 0.8908 1.2402 1.7752 NA 0.5113 1.8825 0.9137 NA 1.2014 1.396 NA 0.9138 1.4672 0.6903 7.0334 5.2869 NA 0.863 1.4667 1.8453 3.489 1.9159
NCIH650_LUNG 3.3292 0.7852 0 0.5544 0.04207 NA 0 0.5809 0.1778 0.1037 0 0.5376 0.1045 0.389 0.5756 0.03584 4.2852 3.4858 1.4552 0.07339 0.5029 0.5932 1.8313 0.861
SW1573_LUNG 2.0416 1.3222 0.6893 0.9396 0.3446 NA 0.2926 0.517 0.3101 NA 0.4564 1.3967 NA 0.6794 0.4133 0.4281 3.8372 3.9544 NA 0.3386 1.4503 1.0356 4.6127 0.5897
OVMANA_OVARY 2.7475 1.0259 1.6191 0.623 0.03859 2.3485 0.2392 1.05 0.6579 0.2676 0.6969 0.3681 0.2611 0.8049 0.1321 0.7003 2.7268 3.3768 1.5302 0.7517 1.112 0.2215 2.4824 0.9599
SKCO1_LARGE_INTESTINE 3.9465 1.1108 1.7353 2.6927 0.7601 NA 1.0297 0.466 1.0674 1.199 0.5605 3.5121 0.16 0.8491 0.2464 0.4569 2.6585 3.4435 1.0695 0.448 2.2025 0.7474 2.2109 1.6106
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.0586 0.2968 0.1212 0.7473 0 NA 0 0.6597 0 0.04111 0.1569 1.4693 0.4576 1.2033 1.0762 0.1536 5.9128 4.2807 1.0229 0.09596 3.0368 0.3247 2.6928 0.2015
DKMG_CENTRAL_NERVOUS_SYSTEM 2.603 0.3032 0.3462 1.1426 0.1756 1.8847 0 0.1664 0.2054 0 0.4608 1.3384 0.5503 0.7844 0.3604 0 5.3135 3.8051 1.3524 0.04339 0.4276 0.7372 1.5358 0.6306
IGR39_SKIN 2.3156 0.7806 1.3605 0.575 0.4376 2.7698 0.09005 0.8244 0.08543 0.1603 0.2199 1.2794 0.08489 0.6601 0.6169 0.187 5.1485 3.1685 1.7809 0.2575 0.8205 0.7215 2.5969 0.896
DAOY_CENTRAL_NERVOUS_SYSTEM 3.6005 0.7917 0.2739 0.3316 0.2287 3.9651 0 0.6428 0.05 0.2486 0.2397 0.01505 0.01077 0.2733 0.02801 0.2072 5.9369 4.8071 0.9778 0.3994 0.7283 0.5918 3.9107 0.6998
JMSU1_URINARY_TRACT 4.8463 1.4305 0.6231 1.3179 1.0426 3.4227 0.7145 0.1648 0.1266 0.6397 0.4729 1.7564 0.9204 0.7331 0.7479 0.5902 6.0871 4.4484 2.4805 0.7113 2.6435 2.8243 3.8976 1.7263
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 4.1173 1.6451 1.196 1.5696 0.689 5.546 1.2041 1.3083 0.9553 1.3969 0.7898 1.5111 2.4264 1.3599 1.3604 1.6986 6.7813 6.3157 1.7772 1.6194 1.7707 1.2434 5.4439 1.6841
PK45H_PANCREAS 3.7247 1.175 1.4521 3.606 0.3102 2.0877 0 0.2142 0.43 0.221 0.2626 4.299 0.4232 0.5456 0.3306 0.6814 5.3968 4.0222 1.7126 0.06274 1.4209 0.92 0.9304 1.5834
HEC59_ENDOMETRIUM 3.2777 0.1996 0.04556 0.03026 0.05487 3.771 1.0539 0.1996 0 0.1066 0.009183 0.05466 0.1972 0.6056 0.03088 0.1145 3.8476 4.4225 2.0355 0.6413 1.0285 0.3578 3.4251 0.04773
LS123_LARGE_INTESTINE 2.3211 0.8263 0.9965 1.76 0.4793 NA 0.09287 0.4231 0.4413 0.5402 0.08035 1.5646 0 0.7037 0.2806 0.5484 2.9985 4.5721 0.8473 0.1955 1.0933 0.3334 1.307 1.5768
SU8686_PANCREAS 2.4711 0.7582 0.3333 0.616 0.1866 NA 0.01013 0.9071 0.09048 NA 0.148 0.7627 0 0.2915 0.2854 0.2061 4.1376 3.8365 1.1501 0.2178 0.2885 0.1613 3.0704 0.5285
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 2.9811 0.3433 0.05539 0.05747 0.01175 4.7396 0 0.07161 0.6501 0 0.001908 0 0.2911 0.8768 0 0.005313 7.1153 4.6797 0.8231 0 0.4967 1.0673 4.1211 0.468
PANC0203_PANCREAS 3.4803 1.5713 1.669 3.4381 1.0194 2.7868 0.06966 0.2337 1.0355 0.3683 0.6172 4.8153 0.8133 0.8964 0.3393 0.1131 4.0096 4.357 0.9657 0.5173 1.1405 0.647 2.4189 1.9639
NCIH1915_LUNG 5.2552 0.4139 1.1919 2.2654 0.4244 3.1297 0.0133 0.9189 0.1502 0.1953 0.2402 3.546 0.5238 0.2831 0.3796 0.1486 6.0863 4.8531 2.7444 0.03571 0.8856 1.0848 3.279 0.8455
KURAMOCHI_OVARY 2.2269 1.4503 2.0978 2.0402 0.9836 2.4941 0.6266 0.4443 1.5001 1.27 1.6904 2.5424 0.9905 1.3399 1.0637 0.5705 3.8522 3.8318 1.5177 1.1985 3.0662 1.2387 3.0771 1.9356
A2058_SKIN 4.747 1.0006 0.793 1.8154 0 3.5949 0.06193 1.1989 0.1202 0.02046 0.1101 2.4465 0 0.5221 0.2003 0.7129 7.1679 4.3673 0.9206 0.05127 0.8825 0.858 3.1484 1.3466
